Nombre,Posición,Duración,Alineación,Evento,Jugada,Resultado
Acción de ataque (21),2603600,13600,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_15 (ei);Jugador_1 (li),Acción de ataque,Jugada_6,Nada
Acción de ataque (25),2930400,18240,Jugador_9 (pi);Jugador_14 (ld);Jugador_3 (c);Jugador_15 (ei);Jugador_1 (li),Acción de ataque,Jugada_69,Nada
Acción de ataque (50),5848840,6880,Jugador_9 (pi);Jugador_14 (ld),Acción de ataque,Jugada_38,Nada
Acción de ataque (87),208040,9000,Jugador_9 (pi);Jugador_12 (pi);Jugador_1 (c);Jugador_10 (ed);Jugador_14 (ld);Jugador_7 (li),Acción de ataque,Jugada_68,Gol
Acción de ataque (39),1749480,13200,Jugador_9 (pi);Jugador_7 (li);Jugador_13 (c);Jugador_2 (ld);Jugador_4 (ed),Acción de ataque,Jugada_69,Pérdida
Acción de ataque (38),1732680,14800,Jugador_9 (pi);Jugador_7 (li);Jugador_13 (c);Jugador_2 (ld);Jugador_4 (ed),Acción de ataque,Jugada_69,Nada
Acción de ataque (36),1582280,8800,Jugador_9 (pi);Jugador_7 (li);Jugador_13 (c);Jugador_2 (ld),Acción de ataque,Jugada_66,Gol
Acción de ataque (37),1657480,16800,Jugador_9 (pi);Jugador_7 (li);Jugador_13 (c);Jugador_2 (ld),Acción de ataque,Jugada_24,Gol
Acción de ataque (15),1728000,14280,Jugador_9 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_11 (ed);Jugador_1 (ld),Acción de ataque,Jugada_18,Nada
Acción de ataque (13),1483400,13320,Jugador_9 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld),Acción de ataque,Jugada_69,Pérdida
Acción de ataque (16),1749760,13640,Jugador_9 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld),Acción de ataque,Jugada_69,Nada
Acción de ataque (17),1952400,13360,Jugador_9 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld),Acción de ataque,Jugada_44,Gol
Acción de ataque (14),1602400,12360,Jugador_9 (pi);Jugador_7 (li);Jugador_3 (c);Jugador_1 (ld),Acción de ataque,Jugada_44,Gol
Acción de ataque (48),4482880,5040,Jugador_9 (pi);Jugador_1 (li),Acción de ataque,Jugada_38,Nada
Acción de ataque (27),3107280,4000,Jugador_9 (pi);Jugador_1 (li),Acción de ataque,Jugada_38,Gol
Acción de ataque (89),472760,6000,Jugador_9 (pi);Jugador_1 (c);Jugador_10 (ed);Jugador_14 (ld);Jugador_7 (li);Jugador_12 (pi),Acción de ataque,Jugada_64,Pérdida
Acción de ataque (88),456640,9000,Jugador_9 (pi);Jugador_1 (c);Jugador_10 (ed);Jugador_14 (ld);Jugador_7 (li);Jugador_12 (pi),Acción de ataque,Jugada_64,Nada
Acción de ataque (34),4543680,5360,Jugador_9 (pi);Jugador_1 (c);Jugador_14 (ld);Jugador_3 (li),Acción de ataque,Jugada_13,Pérdida
Acción de ataque (84),946920,21000,Jugador_9 (pi);Jugador_1 (c);Jugador_2 (ld);Jugador_7 (li);Jugador_10 (ed),Acción de ataque,Jugada_18,Nada
Acción de ataque (65),235560,14000,Jugador_9 (pi);Jugador_1 (c);Jugador_7 (li);Jugador_2 (ld);Jugador_10 (ed),Acción de ataque,Jugada_47,Gol
